 De 77 ate 9,  custa: inf
 De 45 ate 31,  custa: inf
 De 45 ate 32,  custa: 20
 De 45 ate 33,  custa: 16
 De 49 ate 27,  custa: inf
 De 77 ate 10,  custa: 19
 De 77 ate 11,  custa: 12
 De 49 ate 28,  custa: inf
 De 16 ate 83,  custa: 23
 De 77 ate 12,  custa: 25
 De 45 ate 34,  custa: inf
 De 49 ate 29,  custa: inf
 De 77 ate 13,  custa: 20
 De 49 ate 30,  custa: inf
 De 77 ate 14,  custa: 25
 De 45 ate 35,  custa: inf
 De 49 ate 31,  custa: inf
 De 77 ate 15,  custa: 2
 De 77 ate 16,  custa: 27
 De 49 ate 32,  custa: inf
 De 45 ate 36,  custa: 21
 De 49 ate 33,  custa: 16
 De 45 ate 37,  custa: 14
 De 77 ate 17,  custa: inf
 De 45 ate 38,  custa: 12
 De 49 ate 34,  custa: 30
 De 45 ate 39,  custa: 26
 De 77 ate 18,  custa: inf
 De 45 ate 40,  custa: 16
 De 45 ate 41,  custa: 30
 De 77 ate 19,  custa: inf
 De 49 ate 35,  custa: inf
 De 77 ate 20,  custa: 14
 De 77 ate 21,  custa: 10
 De 49 ate 36,  custa: inf
 De 45 ate 42,  custa: inf
 De 73 ate 59,  custa: inf
 De 45 ate 43,  custa: inf
 De 49 ate 37,  De 77 ate 22,  custa: inf
 custa: inf
 De 77 ate 23,  custa: 14
 De 49 ate 38,  custa: 12
 De 73 ate 60,  custa: 4
 De 45 ate 44,  custa: inf
 De 16 ate 84,  custa: 19
 De 77 ate 24,  custa: 36
 De 49 ate 39,  custa: inf
 De 49 ate 40,  custa: 19
 De 45 ate 45,  custa: 8
 De 77 ate 25,  custa: inf
 De 45 ate 46,  custa: inf
 De 77 ate 26,  custa: 26
 De 49 ate 41,  custa: inf
 De 77 ate 27,  custa: 9
 De 45 ate 47,  custa: inf
 De 45 ate 48,  custa: 24
 De 77 ate 28,  custa: inf
 De 49 ate 42,  custa: inf
 De 45 ate 49,  custa: 0
 De 45 ate 50,  custa: 32
 De 49 ate 43,  custa: inf
 De 77 ate 29,  custa: inf
 De 45 ate 51,  custa: 30
 De 77 ate 30,  custa: inf
 De 49 ate 44,  custa: inf
 De 49 ate 45,  custa: 8
 De 49 ate 46,  custa: 10
 De 45 ate 52,  custa: 24
 De 77 ate 31,  custa: inf
 De 49 ate 47,  custa: inf
 De 49 ate 48,  custa: 8
 De 45 ate 53,  custa: 11
 De 77 ate 32,  custa: 20
 De 77 ate 33,  custa: 11
 De 49 ate 49,  custa: inf
 De 45 ate 54,  custa: inf
 De 22 ate 82,  custa: inf
 De 45 ate 55,  custa: inf
 De 49 ate 50,  custa: inf
 De 77 ate 34,  custa: inf
 De 49 ate 51,  custa: 30
 De 45 ate 56,  custa: inf
 De 77 ate 35,  custa: inf
 De 49 ate 52,  custa: inf
 De 49 ate 53,  custa: 11
 De 77 ate 36,  custa: 21
 De 49 ate 54,  De 45 ate 57,  custa: inf
 custa: inf
 De 49 ate 55,  custa: 28
 De 45 ate 58,  custa: inf
 De 77 ate 37,  custa: inf
 De 77 ate 38,  custa: 12
 De 77 ate 39,  custa: 21
 De 45 ate 59,  De 49 ate 56,  custa: inf
 custa: inf
 De 45 ate 60,  custa: 4
 De 45 ate 61,  custa: 26
 De 25 ate 41,  custa: inf
 De 49 ate 57,  custa: inf
 De 84 ate 15,  custa: 2
 De 49 ate 58,  custa: 13
 De 25 ate 42,  custa: inf
 De 45 ate 62,  custa: 39
 De 25 ate 43,  custa: 34
 De 49 ate 59,  custa: inf
 De 45 ate 63,  custa: inf
 De 45 ate 64,  custa: 18
 De 49 ate 60,  custa: 20
 De 45 ate 65,  custa: 21
 De 25 ate 44,  custa: inf
 De 25 ate 45,  custa: 15
 De 49 ate 61,  custa: inf
 De 25 ate 46,  custa: 10
 De 45 ate 66,  custa: inf
 De 16 ate 85,  custa: inf
 De 84 ate 16,  custa: 0
 De 73 ate 61,  custa: 7
 De 49 ate 62,  custa: inf
 De 45 ate 67,  custa: inf
 De 25 ate 47,  custa: inf
 De 25 ate 48,  custa: 23
 De 49 ate 63,  custa: inf
 De 25 ate 49,  custa: 0
 De 45 ate 68,  custa: inf
 De 49 ate 64,  custa: 18
 De 49 ate 65,  custa: 21
 De 45 ate 69,  custa: inf
